process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
Zy_lly,FT1,2.6493051095144575,,,,100.0
Zy_lly,FT2,0.6355691010790955,,,,100.0
Zy_lly,FT2odd,15.678811088362346,,,,100.0
Zy_lly,FT3,0.5955486170967463,,,,100.0
Zy_lly,FT3odd,15.634566749059037,,,,100.0
Zy_lly,FT4,0.2814021585522624,,,,100.0
Zy_lly,FT4odd,1.8455265338487536,,,,100.0
Zy_lly,FT5,3.855144560482417,,,,100.0
Zy_lly,FT5odd,40.974725881870825,,,,100.0
Zy_lly,FT6,0.8320275468054719,,,,100.0
Zy_lly,FT6odd,30.15944880478323,,,,100.0
Zy_lly,FT8,12.44125784825131,,,,100.0
Zy_lly,FT9,2.7085742266031647,,,,100.0
osWW_lvlv,FM0,0.6284118535267162,93.896,2.086,2.513,1.505
osWW_lvlv,FM1,0.0499023506754118,77.659,9.18,11.699,1.461
osWW_lvlv,FM1odd,0.2924682877692496,99.932,0.065,,0.003
osWW_lvlv,FM2,0.2981749984828652,99.87,0.063,0.063,0.003
osWW_lvlv,FM2odd,0.03670628471664475,94.23,5.741,,0.029
osWW_lvlv,FM3,0.01956946315919979,99.604,0.194,0.195,0.007
osWW_lvlv,FM3odd,0.0039503504727178874,71.743,27.952,,0.305
osWW_lvlv,FM4,0.03977106289622062,89.26,5.372,5.337,0.031
osWW_lvlv,FM4odd,0.015018779677900449,77.183,22.756,,0.061
osWW_lvlv,FM5,0.01852938265872589,61.818,19.03,19.073,0.08
osWW_lvlv,FM5odd,2.457213865798391,96.12,2.328,,1.552
osWW_lvlv,FM6odd,0.06492265258313841,57.471,41.365,,1.164
osWW_lvlv,FM7,0.015527525915188056,74.992,10.518,13.164,1.326
osWW_lvlv,FM8,0.005359201160398985,57.857,20.907,20.893,0.343
osWW_lvlv,FM9,0.07962513285121675,17.789,38.988,42.214,1.009
osWW_lvlv,FS0,0.0029488729092336913,99.16,0.426,0.408,0.007
osWW_lvlv,FS1,0.007577347970324691,99.695,0.142,0.151,0.012
osWW_lvlv,FS2,0.006390589809127939,99.675,0.155,0.159,0.011
osWW_lvlv,FT0,24.25440924104165,0.0,0.045,,99.954
osWW_lvlv,FT1,8.905302566293837,0.0,0.079,,99.921
osWW_lvlv,FT2,2.8496649703446684,0.001,0.062,,99.937
osWW_lvlv,FT2odd,9.42262092155679,0.001,0.032,0.032,99.935
osWW_lvlv,FT3,2.3396643432877187,0.0,0.08,,99.92
osWW_lvlv,FT3odd,9.51626106090733,0.0,0.032,0.032,99.936
osWW_lvlv,FT4,0.10660291563271772,0.0,0.034,,99.966
osWW_lvlv,FT4odd,0.605168223262984,0.0,0.069,0.07,99.861
osWW_lvlv,FT5,2.3571258206549612,0.001,0.013,,99.986
osWW_lvlv,FT5odd,229.2965291709141,0.0,0.042,0.039,99.918
osWW_lvlv,FT6,0.23854661753299017,0.001,0.052,,99.948
osWW_lvlv,FT6odd,105.90737141775533,0.0,0.056,0.059,99.885
ssWW_lvlv,FM0,0.033185401340049464,0.371,99.379,,0.25
ssWW_lvlv,FM1,0.01369110767050901,0.156,99.62,,0.223
ssWW_lvlv,FM5odd,0.13098733843534624,0.071,99.733,,0.196
ssWW_lvlv,FM6odd,0.017351647151026044,0.058,99.679,,0.263
ssWW_lvlv,FM9,0.04130681835899425,0.016,99.786,,0.199
ssWW_lvlv,FS0,0.009136896306776684,99.765,0.222,,0.013
ssWW_lvlv,FS1,0.0011209360210831564,99.562,0.43,,0.008
ssWW_lvlv,FS2,0.0011209360210831564,99.562,0.43,,0.008
ssWW_lvlv,FT0,2.908656965799653,0.0,0.259,,99.741
ssWW_lvlv,FT1,11.783435847435252,0.0,0.073,,99.927
ssWW_lvlv,FT2,1.3436594804311253,0.0,0.123,,99.876
ssWW_lvlv,FT5odd,35.28263266679572,0.0,0.158,,99.842
ssWW_lvlv,FT6odd,118.61626256275969,0.0,0.068,,99.932
