process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
ZZ_llll,FT6odd,5.484737683586456,0.0,0.082,,99.986,15.42,14.887,11.219,11.456,15.435
ZZ_llll,FT8,0.1854241886486937,0.001,0.088,,99.957,12.343,10.271,10.07,10.098,12.351
ZZ_llll,FT9,0.040306959205260416,0.001,0.099,,99.95,12.227,10.198,9.909,10.072,12.236
Zy_lly,FM0,0.004555928704076279,,67.866,,32.133,10.09,,10.208,,9.848
Zy_lly,FM1,0.0013391803889212194,,92.486,,7.514,11.345,,11.471,,9.991
Zy_lly,FM1odd,0.02959535887720872,,79.63,,20.37,9.75,,9.733,,9.816
Zy_lly,FM2,0.02978863920566916,,78.979,,21.019,9.459,,9.366,,9.827
Zy_lly,FM2odd,0.010126453215242885,,93.982,,6.019,10.956,,11.043,,9.761
Zy_lly,FM3,0.010130124962121016,,95.496,,4.504,10.282,,10.299,,9.946
Zy_lly,FM3odd,0.003098062464619532,,96.659,,3.353,13.359,,13.625,,8.572
Zy_lly,FM4,0.009835163063021398,,93.037,,6.963,9.832,,9.836,,9.779
Zy_lly,FM4odd,0.009655120692192069,,97.678,,2.323,13.567,,13.699,,9.655
Zy_lly,FM5,0.02411693764886216,,98.965,,1.035,10.014,,10.014,,9.974
Zy_lly,FM5odd,0.018275971064420166,,69.509,,30.496,10.542,,10.875,,9.855
Zy_lly,FM6odd,0.0033449536132137314,,99.575,,0.428,13.227,,13.263,,8.183
Zy_lly,FM7,0.0006193577693438146,,95.93,,4.082,11.503,,11.581,,9.958
Zy_lly,FM8,0.004081733357106539,,96.976,,3.045,11.161,,11.266,,8.657
Zy_lly,FM9,0.018118435860944745,,99.735,,0.265,10.084,,10.084,,10.097
Zy_lly,FT0,4.153345089820138,,,,100.0,17.999,,,,17.999
Zy_lly,FT1,2.6493051095144575,,,,100.0,17.445,,,,17.445
Zy_lly,FT2,0.6355691010790955,,,,100.0,17.814,,,,17.814
Zy_lly,FT2odd,15.678811088362346,,,,100.0,18.581,,,,18.581
Zy_lly,FT3,0.5955486170967463,,,,100.0,17.473,,,,17.473
Zy_lly,FT3odd,15.634566749059037,,,,100.0,18.316,,,,18.316
Zy_lly,FT4,0.2814021585522624,,,,100.0,14.882,,,,14.882
Zy_lly,FT4odd,1.8455265338487536,,,,100.0,13.999,,,,13.999
Zy_lly,FT5,3.855144560482417,,,,100.0,17.301,,,,17.301
Zy_lly,FT5odd,40.974725881870825,,,,100.0,18.858,,,,18.858
Zy_lly,FT6,0.8320275468054719,,,,100.0,14.079,,,,14.079
Zy_lly,FT6odd,30.15944880478323,,,,100.0,17.385,,,,17.385
Zy_lly,FT8,12.44125784825131,,,,100.0,12.892,,,,12.892
Zy_lly,FT9,2.7085742266031647,,,,100.0,12.788,,,,12.788
osWW_lvlv,FM0,0.6284118535267162,93.835,1.888,1.595,2.693,5.646,5.642,5.111,3.585,10.103
osWW_lvlv,FM1,0.0499023506754118,79.496,9.154,8.702,2.69,5.351,5.477,5.335,3.98,9.851
osWW_lvlv,FM1odd,0.2942933147312,99.343,0.046,0.062,0.004,5.7,5.702,4.081,4.534,6.692
osWW_lvlv,FM2,0.2981749984828652,99.879,0.058,0.06,0.002,6.06,6.061,5.598,5.753,4.362
