process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
ZZ_llqq,FM6odd,0.013563484272471348,0.021,49.394,50.418,0.166
ZZ_llqq,FM7,0.005821501539549111,56.719,21.054,21.55,0.676
ZZ_llqq,FM8,0.0010005264608207052,0.028,50.063,49.712,0.198
ZZ_llqq,FM9,0.04236775986712291,22.916,38.629,38.347,0.108
ZZ_llqq,FS0,0.00142948671021612,99.24,0.374,0.371,0.015
ZZ_llqq,FS1,0.0023735195192992518,99.318,0.331,0.331,0.02
ZZ_llqq,FS2,0.00142948671021612,99.24,0.374,0.371,0.015
ZZ_llqq,FT0,5.347234225271312,0.001,0.107,0.108,99.785
ZZ_llqq,FT1,3.372467267174376,0.001,0.138,0.138,99.723
ZZ_llqq,FT2,0.8106368026050584,0.001,0.133,0.133,99.734
ZZ_llqq,FT2odd,3.246824215726561,0.001,0.113,0.113,99.774
ZZ_llqq,FT3,0.7566511079301859,0.001,0.15,0.15,99.7
ZZ_llqq,FT3odd,3.250836699050436,0.0,0.121,0.123,99.757
ZZ_llqq,FT4,0.10052411363736127,0.001,0.196,0.196,99.607
ZZ_llqq,FT4odd,0.7708581792262812,0.001,0.179,0.177,99.643
ZZ_llqq,FT5,0.8592225284989329,0.001,0.13,0.131,99.738
ZZ_llqq,FT5odd,52.882188266359904,0.0,0.098,0.098,99.803
ZZ_llqq,FT6,0.3550999637546852,0.001,0.204,0.204,99.59
ZZ_llqq,FT6odd,38.04324355494521,0.0,0.113,0.112,99.775
ZZ_llqq,FT1odd,0.876857242717061,0.0,0.099,0.099,99.802
ZZ_vvqq,FM0,0.42737020682694143,91.732,3.693,3.692,0.883
ZZ_vvqq,FM1,0.03841116689287866,68.031,15.232,15.963,0.774
ZZ_vvqq,FM1odd,0.21181576249787845,90.09,4.628,4.707,0.575
ZZ_vvqq,FM2,0.21084861169066726,89.969,4.712,4.725,0.594
ZZ_vvqq,FM2odd,0.03252241142126782,70.079,13.292,13.413,3.216
ZZ_vvqq,FM3,0.020401885763087324,61.099,18.734,19.67,0.497
ZZ_vvqq,FM3odd,0.0019290602976308072,0.031,49.579,50.017,0.373
ZZ_vvqq,FM4,0.032533827077329304,68.582,14.23,13.886,3.301
ZZ_vvqq,FM4odd,0.023856788997681896,32.083,33.132,33.6,1.184
ZZ_vvqq,FM5,0.0217819720267215,33.399,32.326,32.775,1.5
ZZ_vvqq,FM5odd,1.6455607185592027,91.537,3.784,3.786,0.892
ZZ_vvqq,FM6odd,0.027000082433706815,0.024,49.624,50.164,0.189
ZZ_vvqq,FM7,0.011462054191526565,57.055,21.037,21.228,0.68
ZZ_vvqq,FM8,0.0020286474518976315,0.027,50.498,49.281,0.193
ZZ_vvqq,FM9,0.08403064391612611,22.884,38.747,38.261,0.108
ZZ_vvqq,FS0,0.0028312273919907315,99.24,0.374,0.371,0.015
ZZ_vvqq,FS1,0.004700969537134585,99.318,0.331,0.331,0.02
ZZ_vvqq,FS2,0.0028312273919907315,99.24,0.374,0.371,0.015
ZZ_vvqq,FT0,10.590758439544969,0.001,0.108,0.108,99.784
ZZ_vvqq,FT1,6.6794881006132645,0.001,0.138,0.138,99.723
ZZ_vvqq,FT2,1.6055431088836596,0.001,0.133,0.133,99.734
ZZ_vvqq,FT2odd,6.430477150060484,0.001,0.113,0.111,99.776
ZZ_vvqq,FT3,1.4986272457582313,0.001,0.15,0.15,99.699
ZZ_vvqq,FT3odd,6.438354029192534,0.0,0.121,0.119,99.76
ZZ_vvqq,FT4,0.1990993573011335,0.001,0.197,0.196,99.606
ZZ_vvqq,FT4odd,1.526722314053354,0.001,0.179,0.175,99.645
ZZ_vvqq,FT5,1.7017710941232105,0.001,0.13,0.131,99.738
ZZ_vvqq,FT5odd,104.73785833854066,0.0,0.098,0.098,99.803
ZZ_vvqq,FT6,0.7033043331000846,0.001,0.204,0.204,99.591
ZZ_vvqq,FT6odd,75.34810315329678,0.0,0.113,0.112,99.775
ZZ_vvqq,FT1odd,1.7366467526039397,0.0,0.099,0.096,99.804
osWW_lvqq,FM0,1.322199190436533,93.912,2.097,2.519,1.472
osWW_lvqq,FM1,0.10581498085775741,77.869,9.118,11.591,1.422
osWW_lvqq,FM1odd,0.6000598065363115,99.86,0.07,0.066,0.003
osWW_lvqq,FM2,0.6104031082634565,99.872,0.065,0.06,0.003
osWW_lvqq,FM2odd,0.08090887219532124,88.736,5.657,5.58,0.027
osWW_lvqq,FM3,0.04033535466033147,99.621,0.192,0.181,0.007
osWW_lvqq,FM3odd,0.01103964053038483,56.553,21.752,21.475,0.219
osWW_lvqq,FM4,0.08102546300440232,88.991,5.399,5.577,0.032
osWW_lvqq,FM4odd,0.03917134070666353,61.923,18.983,19.052,0.042
osWW_lvqq,FM5,0.0379971033867924,62.089,18.962,18.867,0.082
osWW_lvqq,FM5odd,5.2131172122736125,93.453,2.211,2.832,1.504
osWW_lvqq,FM6odd,0.1907263129757113,41.51,27.442,30.24,0.808
osWW_lvqq,FM7,0.034383715908110096,76.159,10.11,12.498,1.233
osWW_lvqq,FM8,0.011064993978990875,58.316,20.593,20.737,0.354
osWW_lvqq,FM9,0.17593614816023004,23.284,36.553,39.212,0.95
osWW_lvqq,FS0,0.006108036336594428,99.173,0.407,0.413,0.007
osWW_lvqq,FS1,0.015533946771346131,99.69,0.144,0.154,0.012
osWW_lvqq,FS2,0.013120911006458945,99.676,0.152,0.161,0.011
osWW_lvqq,FT0,50.150802020886545,0.0,,,100.0
osWW_lvqq,FT1,18.277331990311104,0.001,,,99.999
osWW_lvqq,FT2,5.876940979958481,0.001,,,99.999
osWW_lvqq,FT2odd,19.484611259947464,0.001,0.032,0.033,99.935
osWW_lvqq,FT3,4.815936214944232,0.0,,,100.0
osWW_lvqq,FT3odd,19.670801296374233,0.0,0.031,0.033,99.936
osWW_lvqq,FT4,0.22446155604336673,0.0,,,100.0
osWW_lvqq,FT4odd,1.2432356939914626,0.0,0.068,0.077,99.854
osWW_lvqq,FT5,4.964997262094038,0.001,,,99.999
osWW_lvqq,FT5odd,470.86788549856203,0.0,0.043,0.039,99.918
osWW_lvqq,FT6,0.4957672027215979,0.001,,,99.999
osWW_lvqq,FT6odd,218.30097136504264,0.0,0.057,0.06,99.883
ssWW_lvqq,FM0,0.1376968848536811,0.184,49.654,50.038,0.123
ssWW_lvqq,FM1,0.056223962631684436,0.079,49.826,49.983,0.112
ssWW_lvqq,FM5odd,0.5407275413308202,0.035,49.897,49.97,0.098
ssWW_lvqq,FM6odd,0.0729235175994591,0.028,50.231,49.613,0.127
ssWW_lvqq,FM9,0.16900698039231182,0.008,49.89,50.002,0.1
ssWW_lvqq,FS0,0.018879438341500975,99.539,0.224,0.224,0.013
ssWW_lvqq,FS1,0.002323185301165211,99.136,0.43,0.426,0.008
ssWW_lvqq,FS2,0.002323185301165211,99.136,0.43,0.426,0.008
ssWW_lvqq,FT0,5.982856448105758,0.0,0.259,0.259,99.481
ssWW_lvqq,FT1,24.299300675980017,0.0,0.073,0.073,99.853
ssWW_lvqq,FT2,2.7705906543818704,0.0,0.123,0.123,99.753
ssWW_lvqq,FT5odd,72.7531081521981,0.0,0.157,0.158,99.684
ssWW_lvqq,FT6odd,244.26775251984904,0.0,0.068,0.068,99.864
