process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
osWW_lvlv,FM0,0.6284118535267162,93.896,2.086,2.513,1.505
osWW_lvlv,FM1,0.0499023506754118,77.659,9.18,11.699,1.461
osWW_lvlv,FM1odd,0.2942933147312,99.312,0.065,0.078,0.003
osWW_lvlv,FM2,0.2981749984828652,99.87,0.063,0.063,0.003
osWW_lvlv,FM2odd,0.0390295832454272,88.621,5.4,6.233,0.027
osWW_lvlv,FM3,0.01956946315919979,99.604,0.194,0.195,0.007
osWW_lvlv,FM3odd,0.0053232786120064,53.239,20.743,26.67,0.226
osWW_lvlv,FM4,0.03977106289622062,89.26,5.372,5.337,0.031
osWW_lvlv,FM4odd,0.0186251885882176,62.238,18.35,20.551,0.049
osWW_lvlv,FM5,0.01852938265872589,61.818,19.03,19.073,0.08
osWW_lvlv,FM5odd,2.55,92.622,2.244,2.91,1.496
osWW_lvlv,FM6odd,0.06815,54.75,39.406,4.777,1.108
osWW_lvlv,FM7,0.015527525915188056,74.992,10.518,13.164,1.326
osWW_lvlv,FM8,0.005359201160398985,57.857,20.907,20.893,0.343
osWW_lvlv,FM9,0.07962513285121675,17.789,38.988,42.214,1.009
osWW_lvlv,FS0,0.0029488729092336913,99.16,0.426,0.408,0.007
osWW_lvlv,FS1,0.007577347970324691,99.695,0.142,0.151,0.012
osWW_lvlv,FS2,0.006390589809127939,99.675,0.155,0.159,0.011
osWW_lvlv,FT0,24.25440924104165,0.0,0.045,,99.954
osWW_lvlv,FT1,8.905302566293837,0.0,0.079,,99.921
osWW_lvlv,FT2,2.8496649703446684,0.001,0.062,,99.937
osWW_lvlv,FT2odd,9.42262092155679,0.001,0.032,0.032,99.935
osWW_lvlv,FT3,2.3396643432877187,0.0,0.08,,99.92
osWW_lvlv,FT3odd,9.51626106090733,0.0,0.032,0.032,99.936
osWW_lvlv,FT4,0.10660291563271772,0.0,0.034,,99.966
osWW_lvlv,FT4odd,0.605168223262984,0.0,0.069,0.07,99.861
osWW_lvlv,FT5,2.3571258206549612,0.001,0.013,,99.986
osWW_lvlv,FT5odd,229.2965291709141,0.0,0.042,0.039,99.918
osWW_lvlv,FT6,0.23854661753299017,0.001,0.052,,99.948
osWW_lvlv,FT6odd,105.90737141775533,0.0,0.056,0.059,99.885
ssWW_lvlv,FM0,0.0660316160809859,0.187,49.945,49.743,0.125
ssWW_lvlv,FM1,0.02729446678877755,0.078,49.97,49.839,0.112
ssWW_lvlv,FM5odd,0.2621870588982616,0.035,49.826,50.041,0.098
ssWW_lvlv,FM6odd,0.03486133168966825,0.029,49.614,50.227,0.131
ssWW_lvlv,FM9,0.08248467061509962,0.008,49.971,49.922,0.099
ssWW_lvlv,FS0,0.009153437340349473,99.585,0.221,0.181,0.013
ssWW_lvlv,FS1,0.0011247452844071518,99.225,0.428,0.339,0.008
ssWW_lvlv,FS2,0.0011247452844071518,99.225,0.428,0.339,0.008
ssWW_lvlv,FT0,2.9161942547751365,0.0,0.258,0.258,99.483
ssWW_lvlv,FT1,11.792073527168686,0.0,0.073,0.073,99.853
ssWW_lvlv,FT2,1.3453169192160077,0.0,0.123,0.123,99.753
ssWW_lvlv,FT5odd,35.338431637539024,0.0,0.158,0.158,99.684
ssWW_lvlv,FT6odd,118.69718574885502,0.0,0.068,0.068,99.864
