,FT0,FT1,FT2,FT3,FT4,FT5,FT6
FT0,0.7671814678857543,,,,,,
FT1,1.592580168785536,0.38349763565100814,,,,,
FT2,4.11680477318744,1.682452196615066,8.903809005785192,,,,
FT3,5.186422862500116,-0.25237963953762965,0.20769041339763106,0.3019530197146272,,,
FT4,-1.3876933532197198,0.12783160326788617,1.5938477251735312,3.0253997354569195,-3.3158629878213257,,
FT5,-5.085769657830787,-0.559384604779593,-3.324581815202138,1.5614977442865772,0.2397272491556113,-0.45931085674659067,
FT6,-2.0531889334378373,2.802436516569557,-1.820042981706532,0.056165200788044115,-1.5325334530999908,-2.5121706567745035,-1.0736030523450004
