,FM0,FM1,FM2,FM3,FM4,FM5,FM7,FM8,FM9
FM0,0.029802893201878893,,,,,,,,
FM1,-0.07583476962652735,0.4489200887987286,,,,,,,
FM2,-0.13521700382700022,0.12266397212289686,0.13271902939947375,,,,,,
FM3,0.08417365432367105,-0.07931813002998009,-0.09821104384549878,0.20330046557524886,,,,,
FM4,-0.0618661447090448,0.08279973357631827,-0.10877538366397814,0.06312912157777634,-0.3680312876769065,,,,
FM5,-0.018147130981489967,0.024537020939446777,-0.04441846691381377,0.13175266404276123,0.08156735314442824,0.16867536021841345,,,
FM7,0.04392121147627852,0.10987453255808596,-0.04711545621504307,-0.023522274629565656,-0.0033692215205650736,-0.04410824411710525,0.14332071284842704,,
FM8,-0.0830066127063057,0.04562552579119926,-0.2863813169382861,-0.03548237230308228,0.15450946126698634,-3.724322963569e-05,-0.03168130080952919,0.11667616634225132,
FM9,0.040903018546463936,-0.04440854602462615,0.18244901063405844,0.20296116292611427,-0.07333584655568934,0.11371608647296101,-0.1339160933258996,-0.13444315569854037,0.095046754713423
