,FT0,FT1,FT2,FT3,FT4,FT5,FT6
FT0,0.1008933612546055,,,,,,
FT1,0.2878611359542347,0.09521222037135711,,,,,
FT2,0.5299233991283607,0.4905064227464735,1.6273261289452805,,,,
FT3,0.7231713397028461,-0.0524891726035494,0.05403160425002828,0.06276702262613346,,,
FT4,0.05021255370176322,-0.005154554909959786,-0.06998183863087916,-0.11679647215961088,-0.15059041560156028,,
FT5,0.14533865270422988,0.024984847228776315,0.09850511997428824,-0.0547187181938914,0.015137518140646632,-0.02451246539169984,
FT6,0.09323944259315828,-0.11835793607385461,0.08865494491158749,-0.0022757219661990753,-0.05972902183226361,-0.10418760042121228,-0.04430157201702861
