process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
osWW_lvlv,FM1odd,0.2924682877692496,99.962,0.047,,0.004,5.7,5.702,4.081,4.534,6.692
osWW_lvlv,FM2odd,0.03670628471664475,97.196,4.349,,0.028,6.001,6.19,4.545,4.371,5.823
osWW_lvlv,FM3odd,0.0039503504727178874,57.362,34.77,,0.385,4.883,3.904,6.074,6.199,6.154
osWW_lvlv,FM4odd,0.015018779677900449,82.862,18.644,,0.04,5.433,5.833,4.451,5.064,3.609
osWW_lvlv,FM5odd,2.457213865798391,96.398,1.589,,2.675,5.591,5.607,3.815,4.273,9.638
osWW_lvlv,FM6odd,0.06492265258313841,38.785,38.755,,1.738,4.823,3.255,4.519,7.424,7.203
