Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.89e-04,1.06e-04,36.68%,2.83%
FM0vsFM2,,-8.40e-05,4.02e-07,-8.06e-05,4.56e-05,56.58%,4.03%
FM0,5.82e-12,4.28e-04,2.51e-06,4.38e-04,1.40e-04,31.96%,2.26%
FM1,9.10e-12,1.76e-04,2.25e-06,1.74e-04,3.56e-05,20.46%,0.92%
FM2,1.06e-11,1.30e-04,1.57e-06,1.28e-04,5.55e-05,43.36%,1.16%
FM3,1.62e-11,5.55e-05,6.38e-07,5.53e-05,1.16e-05,20.98%,0.35%
FM4,5.11e-12,5.54e-04,7.98e-06,5.58e-04,7.74e-05,13.87%,0.72%
FM5,6.96e-12,2.95e-04,6.73e-06,2.97e-04,3.29e-05,11.08%,0.63%
FM7,1.15e-11,1.09e-04,1.44e-06,1.14e-04,2.23e-05,19.56%,4.54%
FM8,1.14e-11,1.10e-04,1.21e-06,1.12e-04,1.62e-05,14.46%,1.67%
FM9,3.76e-12,1.03e-03,1.32e-05,1.04e-03,1.97e-04,18.94%,0.95%
